Kode,Nama,Tahun
01,GOLONGAN TANAH,2007
01.01,TANAH,2007
01.01.01,PERKAMPUNGAN,2007
01.01.01.01,Kampung,2007
01.01.01.01.01,Kampung,2007
01.01.01.01.02,Lain-lain,2007
01.01.01.02,Emplasmen,2007
01.01.01.02.01,Emplasmen,2007
01.01.01.02.02,Lain-lain,2007
01.01.01.03,Kuburan,2007
01.01.01.03.01,Islam,2007
01.01.01.03.02,Kristen,2007
01.01.01.03.03,Cina,2007
01.01.01.03.04,Hindu,2007
01.01.01.03.05,Budha,2007
01.01.01.03.06,Makam Pahlawan,2007
01.01.01.03.07,Tempat Benda Bersejarah,2007
01.01.01.03.08,Makam Umum/Kuburan Umum,2007
01.01.01.03.09,lain-lain,2007
01.01.02,TANAH PERTANIAN,2007
01.01.02.01,Sawah Satu Tahun Ditanami,2007
01.01.02.01.01,Padi,2007
01.01.02.01.02,Palawija,2007
01.01.02.01.03,Sawah Ditanami Tebu,2007
01.01.02.01.04,Sawah Ditanami Sayuran,2007
01.01.02.01.05,Sawah Ditanami Tembakau,2007
01.01.02.01.06,Sawah Ditanami Rosella,2007
01.01.02.01.07,Lain-lain,2007
01.01.02.02,Tegalan,2007
01.01.02.02.01,Buah-buahan,2007
01.01.02.02.02,Tembakau,2007
01.01.02.02.03,Jagung,2007
01.01.02.02.04,Ketela Pohon,2007
01.01.02.02.05,Kacang Tanah,2007
01.01.02.02.06,Kacang Hijau,2007
01.01.02.02.07,Kedelai,2007
01.01.02.02.08,Ubi Jalar,2007
01.01.02.02.09,Keladi,2007
01.01.02.02.10,Lain-lain,2007
01.01.02.03,Ladang,2007
01.01.02.03.01,Padi,2007
01.01.02.03.02,Jagung,2007
01.01.02.03.03,Ketela Pohon,2007
01.01.02.03.04,Kacang Tanah,2007
01.01.02.03.05,Kacang Hijau,2007
01.01.02.03.06,Kedelai,2007
01.01.02.03.07,Ubi Jalar,2007
01.01.02.03.08,Keladi,2007
01.01.02.03.09,Bengkuang,2007
01.01.02.03.10,Appel,2007
01.01.02.03.11,Kentang,2007
01.01.02.03.12,Jeruk,2007
01.01.02.03.13,Lain-lain,2007
01.01.03,TANAH PERKEBUNAN,2007
01.01.03.01,Perkebunan,2007
01.01.03.01.01,Karet,2007
01.01.03.01.02,Kopi,2007
01.01.03.01.03,Kelapa,2007
01.01.03.01.04,Randu,2007
01.01.03.01.05,Lada,2007
01.01.03.01.06,Teh,2007
01.01.03.01.07,Kina,2007
01.01.03.01.08,Coklat,2007
01.01.03.01.09,Kelapa Sawit,2007
01.01.03.01.10,Sereh,2007
01.01.03.01.11,Cengkeh,2007
01.01.03.01.12,Pala,2007
01.01.03.01.13,Sagu,2007
01.01.03.01.14,Jambu Mente,2007
01.01.03.01.15,Tengkawang,2007
01.01.03.01.16,Minyak Kayu Putih,2007
01.01.03.01.17,Kayu Manis,2007
01.01.03.01.18,Petai,2007
01.01.03.01.19,Lain-lain,2007
01.01.04,KEBUN CAMPURAN,2007
01.01.04.01,Bidang Tanah Yang Tidak Ada Jaringan Pengairan,2007
01.01.04.01.01,Tanaman Rupa-rupa,2007
01.01.04.01.02,Lain-lain,2007
01.01.04.02,Tumbuh Liar Bercampur Jenis Lain,2007
01.01.04.02.01,Jenis Tanaman rupa-rupa & tidak jelas mana yang menonjol mana yang menonjol,2007
01.01.04.02.02,Tanaman Luar Perkarangan,2007
01.01.04.02.03,Lain-lain,2007
01.01.05,HUTAN,2007
01.01.05.01,Hutan Lebat (jenis kayu utama),2007
01.01.05.01.01,Meranti,2007
01.01.05.01.02,Rasamala,2007
01.01.05.01.03,Bulian,2007
01.01.05.01.04,Medang,2007
01.01.05.01.05,Jelutung,2007
01.01.05.01.06,Ramin,2007
01.01.05.01.07,Puspa,2007
01.01.05.01.08,Sunintem,2007
01.01.05.01.09,Albenia,2007
01.01.05.01.10,Kayu Besi/Ulin,2007
01.01.05.01.11,Lain-lain,2007
01.01.05.02,Hutan Belukar,2007
01.01.05.02.01,Semak-semak,2007
01.01.05.02.02,Hutan belukar,2007
01.01.05.02.03,Lain-lain,2007
01.01.05.03,Hutan Tanaman Jenis,2007
01.01.05.03.01,Jati,2007
01.01.05.03.02,Pinus,2007
01.01.05.03.03,Rotan,2007
01.01.05.03.04,Lain-lain,2007
01.01.05.04,Hutan Alam Sejenis/Hutan Rawa,2007
01.01.05.04.01,Bakau,2007
01.01.05.04.02,Cemara (yang tidak ditanaman),2007
01.01.05.04.03,Galam,2007
01.01.05.04.04,Nipah,2007
01.01.05.04.05,Bambu,2007
01.01.05.04.06,Rotan,2007
01.01.05.04.07,Lain-lain,2007
01.01.05.05,Hutan Untuk Penggunaan  Khusus,2007
01.01.05.05.01,Hutan Cadangan,2007
01.01.05.05.02,Hutan Lindung,2007
01.01.05.05.03,Hutan Cagar Alam,2007
01.01.05.05.04,Hutan Taman Wisata,2007
01.01.05.05.05,Hutan Taman Burung,2007
01.01.05.05.06,Hutan Suaka Marga Satwa,2007
01.01.05.05.07,Hutan Taman Nasional,2007
01.01.05.05.08,Hutan Produksi,2007
01.01.05.05.09,Lain-lain,2007
01.01.06,KOLAM IKAN,2007
01.01.06.01,Tambak,2007
01.01.06.01.01,Tambak,2007
01.01.06.01.02,Lain-lain,2007
01.01.06.02,Air Tawar,2007
01.01.06.02.01,Kolam Air Tawar,2007
01.01.06.02.02,Lain-lain,2007
01.01.07,DANAU/RAWA,2007
01.01.07.01,Rawa,2007
01.01.07.01.01,Rawa,2007
01.01.07.01.02,Lain-lain,2007
01.01.07.02,Danau,2007
01.01.07.02.01,Sanau/Situ,2007
01.01.07.02.02,Waduk,2007
01.01.07.02.03,Lain-lain,2007
01.01.08,TANAH TANDUS/RUSAK,2007
01.01.08.01,Tanah Tandus,2007
01.01.08.01.01,Berbatu-batu,2007
01.01.08.01.02,Longsor,2007
01.01.08.01.03,Tanah Lahar,2007
01.01.08.01.04,Tanah Berpasir/Pasir,2007
01.01.08.01.05,Tanah Pengambilan/Kuasi,2007
01.01.08.01.06,Lain-lain,2007
01.01.08.02,Tanah Rusak,2007
01.01.08.02.01,Tanah yang tererosi/Longsor,2007
01.01.08.02.02,Bekas Tambang/Galian,2007
01.01.08.02.03,Bekas Sawah/Rawa,2007
01.01.08.02.04,Lain-lain,2007
01.01.09,ALANG-ALANG DAN PADANG RUMPUT,2007
01.01.09.01,Alang-alang,2007
01.01.09.01.01,Alang-alang,2007
01.01.09.01.02,Lain-lain,2007
01.01.09.02,Padang Rumput,2007
01.01.09.02.01,Semak Belukar,2007
01.01.09.02.02,Padang Rumput,2007
01.01.09.02.03,Lain-lain,2007
01.01.10,TANAH PENGGUNA LAIN,2007
01.01.10.01,Penggalian,2007
01.01.10.01.07,Penggalian,2007
01.01.10.01.08,Tempat Air Hangat,2007
01.01.10.01.09,Lain-lain,2007
01.01.11,TANAH UNTUK BANGUNAN GEDUNG,2007
01.01.11.01,Tanah Bangunan Perumahan/Gdg. Tempat Tinggal,2007
01.01.11.01.01,Tanah Bangunan Rumah Negara Gol. I,2007
01.01.11.01.02,Tanah Bangunan Rumah Negara Gol. II,2007
01.01.11.01.03,Tanah Bangunan Rumah Negara Gol. III,2007
01.01.11.01.04,Tanah Bangunan Rumah Negara Tanpa Golongan,2007
01.01.11.01.05,Tanah Bangunan Mess/Wisma/Asrama,2007
01.01.11.01.06,Tanah Bangunan Peristirahatan/Bungalaow/Cottage,2007
01.01.11.01.07,Tanah Bangunan Rumah Penjaga,2007
01.01.11.01.08,Tanah Bangunan Rumah LP,2007
01.01.11.01.09,Tanah Bangunan Rumah Tahanan/Rutan,2007
01.01.11.01.10,Tanah Bangunan Rumah Fasilitas Tempat Tinggal lainnya,2007
01.01.11.01.11,Lain-lain,2007
01.01.11.02,Tanah Untuk Bangunan Gedung Perdagangan/Perusahaan,2007
01.01.11.02.01,Tanah Bangunan Pasar,2007
01.01.11.02.02,Tanah Bangunan Pertokoan/Rumah Toko,2007
01.01.11.02.03,Tanah Bangunan Gudang,2007
01.01.11.02.04,Tanah Bangunan Stasiun Kereta Api,2007
01.01.11.02.05,Tanah Bangunan Bioskop,2007
01.01.11.02.06,Tanah Bangunan Hotel/Penginapan,2007
01.01.11.02.07,Tanah Bangunan Terminal Darat,2007
01.01.11.02.08,Tanah Bangunan Terminal Laut,2007
01.01.11.02.09,Tanah Bangunan Terminal Udara,2007
01.01.11.02.10,Tanah Bangunan Gedung Kesenian,2007
01.01.11.02.11,Tanah Bangunan Gedung Pameran,2007
01.01.11.02.12,Tanah Bangunan Gedung Pusat Perbelanjaan,2007
01.01.11.02.13,Tanah Bangunan Apotik,2007
01.01.11.02.14,Tanah Bangunan Gedung Perdagangan Lainnya,2007
01.01.11.02.15,Lain-lain,2007
01.01.11.03,Tanah Untuk Bangunan  Industri,2007
01.01.11.03.01,Tanah Bangunan Industri Makanan,2007
01.01.11.03.02,Tanah Bangunan Industri Minuman,2007
01.01.11.03.03,Tanah Bangunan Industri/Alat RT.,2007
01.01.11.03.04,Tanah Bangunan Industri Pakaian/Garment,2007
01.01.11.03.05,Tanah Bangunan Industri Besi/Logam,2007
01.01.11.03.06,Tanah Bangunan Industri Baja,2007
01.01.11.03.07,Tanah Bangunan Industri Pengalengan,2007
01.01.11.03.08,Tanah Bangunan Industri Bengkel,2007
01.01.11.03.09,Tanah Bangunan Industri Penyulingan  Minyak,2007
01.01.11.03.10,Tanah Bangunan Industri Semen,2007
01.01.11.03.11,Tanah Bangunan Industri Batu bata/Batako,2007
01.01.11.03.12,Tanah Bangunan Industri Genteng,2007
01.01.11.03.13,Tanah Bangunan Industri Percetakan,2007
01.01.11.03.14,Tanah Bangunan Industri Tesktil,2007
01.01.11.03.15,Tanah Bangunan Industri Obat-obatan,2007
01.01.11.03.16,Tanah Bangunan Industri Alat Olah Raga,2007
01.01.11.03.17,Tanah Bangunan Industri Kendaraan/ Otomotif,2007
01.01.11.03.19,Tanah Bangunan Industri Persenjataan,2007
01.01.11.03.20,Tanah Bangunan Industri Kapal Udara,2007
01.01.11.03.21,Tanah Bangunan Industri Kapal Laut,2007
01.01.11.03.22,Tanah Bangunan Industri Kapal Api,2007
01.01.11.03.23,Tanah Bangunan Industri Keramik/Marmer,2007
01.01.11.03.24,Tanah Bangunan Industri Lainnya,2007
01.01.11.03.25,Lain-lain,2007
01.01.11.04,Tanah Untuk Bangunan Tempat Kerja/Jasa,2007
01.01.11.04.01,Tanah Bangunan Kantor Pemerintah,2007
01.01.11.04.02,Tanah Bangunan Pendidikan dan  Latihan (Sekolah),2007
01.01.11.04.03,Tanah Bangunan Rumah Sakit,2007
01.01.11.04.04,Tanah Bangunan Apotik,2007
01.01.11.04.05,Tanah Bangunan Tempat Ibadah,2007
01.01.11.04.06,Tanah Bangunan Dermaga,2007
01.01.11.04.07,Tanah Bangunan Pelabuhan Udara,2007
01.01.11.04.08,Tanah Bangunan Olah Raga,2007
01.01.11.04.09,Tanah Bangunan Taman/Wisata/Rekreasi,2007
01.01.11.04.10,Tanah Bangunan Balai Sidang/Pertemuan,2007
01.01.11.04.11,Tanah Bangunan Balai Nikah,2007
01.01.11.04.12,Tanah Bangunan Puskesmas/Posyandu,2007
01.01.11.04.13,Tanah Bangunan Poliklinik,2007
01.01.11.04.14,Tanah Bangunan Laboraturium,2007
01.01.11.04.15,Tanah Bangunan Fumigasi/Sterlisasi,2007
01.01.11.04.16,Tanah Bangunan Karantina,2007
01.01.11.04.17,Tanah Bangunan Bangsal Pengolahan  Pondon Kerja,2007
